,Year,Enrolling District Number,Enrolling District Type,Enrolling District,Count of Open Enrolled,Resident District Number,Resident District Type,Resident District
0,23-24,1.0,1.0,Aitkin Public School District,3.0,2.0,1.0,Hill City Public School District
1,23-24,1.0,1.0,Aitkin Public School District,9.0,4.0,1.0,McGregor Public School District
2,23-24,1.0,1.0,Aitkin Public School District,1.0,116.0,1.0,Pillager Public School District
3,23-24,1.0,1.0,Aitkin Public School District,13.0,181.0,1.0,Brainerd Public School District
4,23-24,1.0,1.0,Aitkin Public School District,51.0,182.0,1.0,Crosby-Ironton Public School District
5,23-24,1.0,1.0,Aitkin Public School District,1.0,186.0,1.0,Pequot Lakes Public Schools
6,23-24,1.0,1.0,Aitkin Public School District,1.0,318.0,1.0,Grand Rapids Public School District
7,23-24,1.0,1.0,Aitkin Public School District,11.0,473.0,1.0,Isle Public School District
8,23-24,1.0,1.0,Aitkin Public School District,12.0,480.0,1.0,Onamia Public School District
9,23-24,1.0,3.0,Minneapolis Public School District,22.0,11.0,1.0,Anoka-Hennepin Public School District
10,23-24,1.0,3.0,Minneapolis Public School District,36.0,13.0,1.0,Columbia Heights Public School District
11,23-24,1.0,3.0,Minneapolis Public School District,12.0,14.0,1.0,Fridley Public School District
12,23-24,1.0,3.0,Minneapolis Public School District,1.0,15.0,1.0,St. Francis Area Schools
13,23-24,1.0,3.0,Minneapolis Public School District,2.0,16.0,1.0,Spring Lake Park Public Schools
14,23-24,1.0,3.0,Minneapolis Public School District,2.0,191.0,1.0,Burnsville-Eagan-Savage School District
15,23-24,1.0,3.0,Minneapolis Public School District,3.0,196.0,1.0,Rosemount-Apple Valley-Eagan
16,23-24,1.0,3.0,Minneapolis Public School District,5.0,197.0,1.0,West St. Paul-Mendota Heights-Eagan
17,23-24,1.0,3.0,Minneapolis Public School District,1.0,199.0,1.0,Inver Grove Heights Schools
18,23-24,1.0,3.0,Minneapolis Public School District,5.0,270.0,1.0,Hopkins Public School District
19,23-24,1.0,3.0,Minneapolis Public School District,14.0,271.0,1.0,Bloomington Public School District
20,23-24,1.0,3.0,Minneapolis Public School District,3.0,272.0,1.0,Eden Prairie Public School District
21,23-24,1.0,3.0,Minneapolis Public School District,10.0,273.0,1.0,Edina Public School District
22,23-24,1.0,3.0,Minneapolis Public School District,1.0,277.0,1.0,Westonka Public School District
23,23-24,1.0,3.0,Minneapolis Public School District,58.0,279.0,1.0,Osseo Public School District
24,23-24,1.0,3.0,Minneapolis Public School District,44.0,280.0,1.0,Richfield Public School District
25,23-24,1.0,3.0,Minneapolis Public School District,72.0,281.0,1.0,Robbinsdale Public School District
26,23-24,1.0,3.0,Minneapolis Public School District,5.0,282.0,1.0,St. Anthony-New Brighton Schools
27,23-24,1.0,3.0,Minneapolis Public School District,7.0,283.0,1.0,St. Louis Park Public School District
28,23-24,1.0,3.0,Minneapolis Public School District,4.0,284.0,1.0,Wayzata Public School District
29,23-24,1.0,3.0,Minneapolis Public School District,26.0,286.0,1.0,Brooklyn Center Community Schools
30,23-24,1.0,3.0,Minneapolis Public School District,3.0,621.0,1.0,Mounds View Public School District
31,23-24,1.0,3.0,Minneapolis Public School District,2.0,622.0,1.0,North St. Paul-Maplewood Oakdale Public School District
32,23-24,1.0,3.0,Minneapolis Public School District,4.0,623.0,1.0,Roseville Public School District
33,23-24,1.0,3.0,Minneapolis Public School District,45.0,625.0,1.0,Saint Paul Public Schools
34,23-24,1.0,3.0,Minneapolis Public School District,1.0,720.0,1.0,Shakopee Public School District
35,23-24,1.0,3.0,Minneapolis Public School District,2.0,728.0,1.0,Elk River Public School District
36,23-24,1.0,3.0,Minneapolis Public School District,2.0,833.0,1.0,South Washington County Schools
37,23-24,1.0,3.0,Minneapolis Public School District,1.0,2859.0,1.0,Glencoe-Silver Lake School District
38,23-24,2.0,1.0,Hill City Public School District,3.0,1.0,1.0,Aitkin Public School District
39,23-24,2.0,1.0,Hill City Public School District,3.0,4.0,1.0,McGregor Public School District
40,23-24,2.0,1.0,Hill City Public School District,1.0,31.0,1.0,Bemidji Public School District
41,23-24,2.0,1.0,Hill City Public School District,2.0,118.0,1.0,Northland Community Schools
42,23-24,2.0,1.0,Hill City Public School District,1.0,316.0,1.0,Greenway Public School District
43,23-24,2.0,1.0,Hill City Public School District,4.0,317.0,1.0,Deer River Public School District
44,23-24,2.0,1.0,Hill City Public School District,47.0,318.0,1.0,Grand Rapids Public School District
45,23-24,4.0,1.0,McGregor Public School District,10.0,1.0,1.0,Aitkin Public School District
46,23-24,4.0,1.0,McGregor Public School District,4.0,95.0,1.0,Cromwell-Wright Public Schools
47,23-24,4.0,1.0,McGregor Public School District,1.0,182.0,1.0,Crosby-Ironton Public School District
48,23-24,4.0,1.0,McGregor Public School District,2.0,473.0,1.0,Isle Public School District
49,23-24,6.0,3.0,South St. Paul Public School District,9.0,1.0,3.0,Minneapolis Public School District
50,23-24,6.0,3.0,South St. Paul Public School District,3.0,191.0,1.0,Burnsville-Eagan-Savage School District
51,23-24,6.0,3.0,South St. Paul Public School District,2.0,192.0,1.0,Farmington Public School District
52,23-24,6.0,3.0,South St. Paul Public School District,1.0,194.0,1.0,Lakeville Area Schools
53,23-24,6.0,3.0,South St. Paul Public School District,15.0,196.0,1.0,Rosemount-Apple Valley-Eagan
54,23-24,6.0,3.0,South St. Paul Public School District,60.0,197.0,1.0,West St. Paul-Mendota Heights-Eagan
55,23-24,6.0,3.0,South St. Paul Public School District,174.0,199.0,1.0,Inver Grove Heights Schools
56,23-24,6.0,3.0,South St. Paul Public School District,7.0,200.0,1.0,Hastings Public School District
57,23-24,6.0,3.0,South St. Paul Public School District,1.0,241.0,1.0,Albert Lea Public School District
58,23-24,6.0,3.0,South St. Paul Public School District,4.0,279.0,1.0,Osseo Public School District
59,23-24,6.0,3.0,South St. Paul Public School District,1.0,280.0,1.0,Richfield Public School District
60,23-24,6.0,3.0,South St. Paul Public School District,2.0,621.0,1.0,Mounds View Public School District
61,23-24,6.0,3.0,South St. Paul Public School District,14.0,622.0,1.0,North St. Paul-Maplewood Oakdale Public School District
62,23-24,6.0,3.0,South St. Paul Public School District,1.0,623.0,1.0,Roseville Public School District
63,23-24,6.0,3.0,South St. Paul Public School District,2.0,624.0,1.0,White Bear Lake School District
64,23-24,6.0,3.0,South St. Paul Public School District,146.0,625.0,1.0,Saint Paul Public Schools
65,23-24,6.0,3.0,South St. Paul Public School District,54.0,833.0,1.0,South Washington County Schools
66,23-24,6.0,3.0,South St. Paul Public School District,3.0,834.0,1.0,Stillwater Area Public Schools
67,23-24,11.0,1.0,Anoka-Hennepin Public School District,29.0,1.0,3.0,Minneapolis Public School District
68,23-24,11.0,1.0,Anoka-Hennepin Public School District,14.0,12.0,1.0,Centennial Public School District
69,23-24,11.0,1.0,Anoka-Hennepin Public School District,6.0,13.0,1.0,Columbia Heights Public School District
70,23-24,11.0,1.0,Anoka-Hennepin Public School District,52.0,14.0,1.0,Fridley Public School District
71,23-24,11.0,1.0,Anoka-Hennepin Public School District,316.0,15.0,1.0,St. Francis Area Schools
72,23-24,11.0,1.0,Anoka-Hennepin Public School District,101.0,16.0,1.0,Spring Lake Park Public Schools
73,23-24,11.0,1.0,Anoka-Hennepin Public School District,1.0,112.0,1.0,Eastern Carver County Public Schools
74,23-24,11.0,1.0,Anoka-Hennepin Public School District,3.0,138.0,1.0,North Branch Area Public Schools
75,23-24,11.0,1.0,Anoka-Hennepin Public School District,1.0,194.0,1.0,Lakeville Area Schools
76,23-24,11.0,1.0,Anoka-Hennepin Public School District,2.0,270.0,1.0,Hopkins Public School District
77,23-24,11.0,1.0,Anoka-Hennepin Public School District,2.0,276.0,1.0,Minnetonka Public School District
78,23-24,11.0,1.0,Anoka-Hennepin Public School District,756.0,279.0,1.0,Osseo Public School District
79,23-24,11.0,1.0,Anoka-Hennepin Public School District,29.0,281.0,1.0,Robbinsdale Public School District
80,23-24,11.0,1.0,Anoka-Hennepin Public School District,3.0,283.0,1.0,St. Louis Park Public School District
81,23-24,11.0,1.0,Anoka-Hennepin Public School District,4.0,284.0,1.0,Wayzata Public School District
82,23-24,11.0,1.0,Anoka-Hennepin Public School District,42.0,286.0,1.0,Brooklyn Center Community Schools
83,23-24,11.0,1.0,Anoka-Hennepin Public School District,1.0,314.0,1.0,Braham Public School District
84,23-24,11.0,1.0,Anoka-Hennepin Public School District,1.0,333.0,1.0,Ogilvie Public School District
85,23-24,11.0,1.0,Anoka-Hennepin Public School District,2.0,477.0,1.0,Princeton Public School District
86,23-24,11.0,1.0,Anoka-Hennepin Public School District,9.0,621.0,1.0,Mounds View Public School District
87,23-24,11.0,1.0,Anoka-Hennepin Public School District,2.0,622.0,1.0,North St. Paul-Maplewood Oakdale Public School District
88,23-24,11.0,1.0,Anoka-Hennepin Public School District,2.0,623.0,1.0,Roseville Public School District
89,23-24,11.0,1.0,Anoka-Hennepin Public School District,6.0,624.0,1.0,White Bear Lake School District
90,23-24,11.0,1.0,Anoka-Hennepin Public School District,4.0,625.0,1.0,Saint Paul Public Schools
91,23-24,11.0,1.0,Anoka-Hennepin Public School District,7.0,727.0,1.0,Big Lake Public School District
92,23-24,11.0,1.0,Anoka-Hennepin Public School District,89.0,728.0,1.0,Elk River Public School District
93,23-24,11.0,1.0,Anoka-Hennepin Public School District,1.0,742.0,1.0,St. Cloud Public School District
94,23-24,11.0,1.0,Anoka-Hennepin Public School District,25.0,831.0,1.0,Forest Lake Public School District
95,23-24,11.0,1.0,Anoka-Hennepin Public School District,1.0,882.0,1.0,Monticello Public School District
96,23-24,11.0,1.0,Anoka-Hennepin Public School District,7.0,885.0,1.0,St. Michael-Albertville School District
97,23-24,11.0,1.0,Anoka-Hennepin Public School District,24.0,911.0,1.0,Cambridge-Isanti Public School District
98,23-24,11.0,1.0,Anoka-Hennepin Public School District,4.0,2144.0,1.0,Chisago Lakes School District
99,23-24,11.0,1.0,Anoka-Hennepin Public School District,1.0,2902.0,1.0,RTR Public Schools
100,23-24,12.0,1.0,Centennial Public School District,1.0,1.0,3.0,Minneapolis Public School District
101,23-24,12.0,1.0,Centennial Public School District,367.0,11.0,1.0,Anoka-Hennepin Public School District
102,23-24,12.0,1.0,Centennial Public School District,4.0,13.0,1.0,Columbia Heights Public School District
103,23-24,12.0,1.0,Centennial Public School District,13.0,14.0,1.0,Fridley Public School District
104,23-24,12.0,1.0,Centennial Public School District,16.0,15.0,1.0,St. Francis Area Schools
105,23-24,12.0,1.0,Centennial Public School District,263.0,16.0,1.0,Spring Lake Park Public Schools
106,23-24,12.0,1.0,Centennial Public School District,2.0,113.0,1.0,Walker-Hackensack-Akeley School District
107,23-24,12.0,1.0,Centennial Public School District,7.0,138.0,1.0,North Branch Area Public Schools
108,23-24,12.0,1.0,Centennial Public School District,1.0,139.0,1.0,Rush City Public School District
109,23-24,12.0,1.0,Centennial Public School District,1.0,194.0,1.0,Lakeville Area Schools
110,23-24,12.0,1.0,Centennial Public School District,4.0,279.0,1.0,Osseo Public School District
111,23-24,12.0,1.0,Centennial Public School District,2.0,281.0,1.0,Robbinsdale Public School District
112,23-24,12.0,1.0,Centennial Public School District,4.0,282.0,1.0,St. Anthony-New Brighton Schools
113,23-24,12.0,1.0,Centennial Public School District,55.0,621.0,1.0,Mounds View Public School District
114,23-24,12.0,1.0,Centennial Public School District,1.0,622.0,1.0,North St. Paul-Maplewood Oakdale Public School District
115,23-24,12.0,1.0,Centennial Public School District,1.0,623.0,1.0,Roseville Public School District
116,23-24,12.0,1.0,Centennial Public School District,152.0,624.0,1.0,White Bear Lake School District
117,23-24,12.0,1.0,Centennial Public School District,4.0,625.0,1.0,Saint Paul Public Schools
118,23-24,12.0,1.0,Centennial Public School District,2.0,728.0,1.0,Elk River Public School District
119,23-24,12.0,1.0,Centennial Public School District,466.0,831.0,1.0,Forest Lake Public School District
120,23-24,12.0,1.0,Centennial Public School District,2.0,832.0,1.0,Mahtomedi Public School District
121,23-24,12.0,1.0,Centennial Public School District,1.0,834.0,1.0,Stillwater Area Public Schools
122,23-24,12.0,1.0,Centennial Public School District,1.0,877.0,1.0,Buffalo-Hanover-Montrose Schools
123,23-24,12.0,1.0,Centennial Public School District,1.0,885.0,1.0,St. Michael-Albertville School District
124,23-24,12.0,1.0,Centennial Public School District,5.0,911.0,1.0,Cambridge-Isanti Public School District
125,23-24,12.0,1.0,Centennial Public School District,5.0,2144.0,1.0,Chisago Lakes School District
126,23-24,13.0,1.0,Columbia Heights Public School District,637.0,1.0,3.0,Minneapolis Public School District
127,23-24,13.0,1.0,Columbia Heights Public School District,35.0,11.0,1.0,Anoka-Hennepin Public School District
128,23-24,13.0,1.0,Columbia Heights Public School District,78.0,14.0,1.0,Fridley Public School District
129,23-24,13.0,1.0,Columbia Heights Public School District,1.0,15.0,1.0,St. Francis Area Schools
130,23-24,13.0,1.0,Columbia Heights Public School District,41.0,16.0,1.0,Spring Lake Park Public Schools
131,23-24,13.0,1.0,Columbia Heights Public School District,1.0,194.0,1.0,Lakeville Area Schools
132,23-24,13.0,1.0,Columbia Heights Public School District,1.0,270.0,1.0,Hopkins Public School District
133,23-24,13.0,1.0,Columbia Heights Public School District,30.0,279.0,1.0,Osseo Public School District
134,23-24,13.0,1.0,Columbia Heights Public School District,19.0,281.0,1.0,Robbinsdale Public School District
135,23-24,13.0,1.0,Columbia Heights Public School District,22.0,282.0,1.0,St. Anthony-New Brighton Schools
136,23-24,13.0,1.0,Columbia Heights Public School District,2.0,284.0,1.0,Wayzata Public School District
137,23-24,13.0,1.0,Columbia Heights Public School District,22.0,286.0,1.0,Brooklyn Center Community Schools
138,23-24,13.0,1.0,Columbia Heights Public School District,34.0,621.0,1.0,Mounds View Public School District
139,23-24,13.0,1.0,Columbia Heights Public School District,2.0,622.0,1.0,North St. Paul-Maplewood Oakdale Public School District
140,23-24,13.0,1.0,Columbia Heights Public School District,6.0,623.0,1.0,Roseville Public School District
141,23-24,13.0,1.0,Columbia Heights Public School District,1.0,624.0,1.0,White Bear Lake School District
142,23-24,13.0,1.0,Columbia Heights Public School District,5.0,625.0,1.0,Saint Paul Public Schools
143,23-24,13.0,1.0,Columbia Heights Public School District,1.0,911.0,1.0,Cambridge-Isanti Public School District
144,23-24,14.0,1.0,Fridley Public School District,158.0,1.0,3.0,Minneapolis Public School District
145,23-24,14.0,1.0,Fridley Public School District,207.0,11.0,1.0,Anoka-Hennepin Public School District
146,23-24,14.0,1.0,Fridley Public School District,9.0,12.0,1.0,Centennial Public School District
147,23-24,14.0,1.0,Fridley Public School District,224.0,13.0,1.0,Columbia Heights Public School District
148,23-24,14.0,1.0,Fridley Public School District,55.0,16.0,1.0,Spring Lake Park Public Schools
149,23-24,14.0,1.0,Fridley Public School District,1.0,191.0,1.0,Burnsville-Eagan-Savage School District
150,23-24,14.0,1.0,Fridley Public School District,1.0,194.0,1.0,Lakeville Area Schools
151,23-24,14.0,1.0,Fridley Public School District,2.0,270.0,1.0,Hopkins Public School District
152,23-24,14.0,1.0,Fridley Public School District,138.0,279.0,1.0,Osseo Public School District
153,23-24,14.0,1.0,Fridley Public School District,16.0,281.0,1.0,Robbinsdale Public School District
154,23-24,14.0,1.0,Fridley Public School District,6.0,282.0,1.0,St. Anthony-New Brighton Schools
155,23-24,14.0,1.0,Fridley Public School District,70.0,286.0,1.0,Brooklyn Center Community Schools
156,23-24,14.0,1.0,Fridley Public School District,20.0,621.0,1.0,Mounds View Public School District
157,23-24,14.0,1.0,Fridley Public School District,1.0,622.0,1.0,North St. Paul-Maplewood Oakdale Public School District
158,23-24,14.0,1.0,Fridley Public School District,2.0,623.0,1.0,Roseville Public School District
159,23-24,14.0,1.0,Fridley Public School District,4.0,625.0,1.0,Saint Paul Public Schools
160,23-24,14.0,1.0,Fridley Public School District,1.0,717.0,1.0,Jordan Public School District
161,23-24,14.0,1.0,Fridley Public School District,1.0,834.0,1.0,Stillwater Area Public Schools
162,23-24,14.0,1.0,Fridley Public School District,1.0,2754.0,1.0,Cedar Mountain School District
163,23-24,15.0,1.0,St. Francis Area Schools,54.0,11.0,1.0,Anoka-Hennepin Public School District
164,23-24,15.0,1.0,St. Francis Area Schools,1.0,12.0,1.0,Centennial Public School District
165,23-24,15.0,1.0,St. Francis Area Schools,1.0,13.0,1.0,Columbia Heights Public School District
166,23-24,15.0,1.0,St. Francis Area Schools,2.0,138.0,1.0,North Branch Area Public Schools
167,23-24,15.0,1.0,St. Francis Area Schools,3.0,279.0,1.0,Osseo Public School District
168,23-24,15.0,1.0,St. Francis Area Schools,1.0,314.0,1.0,Braham Public School District
169,23-24,15.0,1.0,St. Francis Area Schools,2.0,333.0,1.0,Ogilvie Public School District
170,23-24,15.0,1.0,St. Francis Area Schools,14.0,477.0,1.0,Princeton Public School District
171,23-24,15.0,1.0,St. Francis Area Schools,1.0,621.0,1.0,Mounds View Public School District
172,23-24,15.0,1.0,St. Francis Area Schools,1.0,700.0,1.0,Hermantown Community Schools
173,23-24,15.0,1.0,St. Francis Area Schools,22.0,728.0,1.0,Elk River Public School District
174,23-24,15.0,1.0,St. Francis Area Schools,8.0,831.0,1.0,Forest Lake Public School District
175,23-24,15.0,1.0,St. Francis Area Schools,2.0,834.0,1.0,Stillwater Area Public Schools
176,23-24,15.0,1.0,St. Francis Area Schools,1.0,877.0,1.0,Buffalo-Hanover-Montrose Schools
177,23-24,15.0,1.0,St. Francis Area Schools,1.0,885.0,1.0,St. Michael-Albertville School District
178,23-24,15.0,1.0,St. Francis Area Schools,58.0,911.0,1.0,Cambridge-Isanti Public School District
179,23-24,15.0,1.0,St. Francis Area Schools,1.0,2144.0,1.0,Chisago Lakes School District
180,23-24,15.0,1.0,St. Francis Area Schools,1.0,2711.0,1.0,Mesabi East School District
181,23-24,16.0,1.0,Spring Lake Park Public Schools,51.0,1.0,3.0,Minneapolis Public School District
182,23-24,16.0,1.0,Spring Lake Park Public Schools,819.0,11.0,1.0,Anoka-Hennepin Public School District
183,23-24,16.0,1.0,Spring Lake Park Public Schools,57.0,12.0,1.0,Centennial Public School District
184,23-24,16.0,1.0,Spring Lake Park Public Schools,115.0,13.0,1.0,Columbia Heights Public School District
185,23-24,16.0,1.0,Spring Lake Park Public Schools,243.0,14.0,1.0,Fridley Public School District
186,23-24,16.0,1.0,Spring Lake Park Public Schools,35.0,15.0,1.0,St. Francis Area Schools
187,23-24,16.0,1.0,Spring Lake Park Public Schools,1.0,270.0,1.0,Hopkins Public School District
188,23-24,16.0,1.0,Spring Lake Park Public Schools,3.0,271.0,1.0,Bloomington Public School District
189,23-24,16.0,1.0,Spring Lake Park Public Schools,64.0,279.0,1.0,Osseo Public School District
190,23-24,16.0,1.0,Spring Lake Park Public Schools,19.0,281.0,1.0,Robbinsdale Public School District
191,23-24,16.0,1.0,Spring Lake Park Public Schools,2.0,282.0,1.0,St. Anthony-New Brighton Schools
192,23-24,16.0,1.0,Spring Lake Park Public Schools,2.0,283.0,1.0,St. Louis Park Public School District
193,23-24,16.0,1.0,Spring Lake Park Public Schools,11.0,286.0,1.0,Brooklyn Center Community Schools
194,23-24,16.0,1.0,Spring Lake Park Public Schools,114.0,621.0,1.0,Mounds View Public School District
195,23-24,16.0,1.0,Spring Lake Park Public Schools,1.0,622.0,1.0,North St. Paul-Maplewood Oakdale Public School District
196,23-24,16.0,1.0,Spring Lake Park Public Schools,5.0,623.0,1.0,Roseville Public School District
197,23-24,16.0,1.0,Spring Lake Park Public Schools,18.0,625.0,1.0,Saint Paul Public Schools
198,23-24,16.0,1.0,Spring Lake Park Public Schools,7.0,728.0,1.0,Elk River Public School District
199,23-24,16.0,1.0,Spring Lake Park Public Schools,15.0,831.0,1.0,Forest Lake Public School District
200,23-24,16.0,1.0,Spring Lake Park Public Schools,2.0,832.0,1.0,Mahtomedi Public School District
201,23-24,16.0,1.0,Spring Lake Park Public Schools,1.0,861.0,1.0,Winona Area Public School District
202,23-24,16.0,1.0,Spring Lake Park Public Schools,19.0,911.0,1.0,Cambridge-Isanti Public School District
203,23-24,22.0,1.0,Detroit Lakes Public School District,148.0,23.0,1.0,Frazee-Vergas Public School District
204,23-24,22.0,1.0,Detroit Lakes Public School District,1.0,25.0,1.0,Pine Point Public School District
205,23-24,22.0,1.0,Detroit Lakes Public School District,6.0,150.0,1.0,Hawley Public School District
206,23-24,22.0,1.0,Detroit Lakes Public School District,3.0,309.0,1.0,Park Rapids Public School District
207,23-24,22.0,1.0,Detroit Lakes Public School District,17.0,435.0,1.0,Waubun-Ogema-White Earth Schools
208,23-24,22.0,1.0,Detroit Lakes Public School District,32.0,548.0,1.0,Pelican Rapids Public School District
209,23-24,22.0,1.0,Detroit Lakes Public School District,24.0,549.0,1.0,Perham-Dent Public School District
210,23-24,22.0,1.0,Detroit Lakes Public School District,3.0,553.0,1.0,New York Mills Public School District
211,23-24,22.0,1.0,Detroit Lakes Public School District,1.0,846.0,1.0,Breckenridge Public School District
212,23-24,22.0,1.0,Detroit Lakes Public School District,1.0,2609.0,1.0,Win-E-Mac School District
213,23-24,22.0,1.0,Detroit Lakes Public School District,107.0,2889.0,1.0,Lake Park Audubon School District
214,23-24,23.0,1.0,Frazee-Vergas Public School District,72.0,22.0,1.0,Detroit Lakes Public School District
215,23-24,23.0,1.0,Frazee-Vergas Public School District,1.0,31.0,1.0,Bemidji Public School District
216,23-24,23.0,1.0,Frazee-Vergas Public School District,1.0,309.0,1.0,Park Rapids Public School District
217,23-24,23.0,1.0,Frazee-Vergas Public School District,3.0,548.0,1.0,Pelican Rapids Public School District
218,23-24,23.0,1.0,Frazee-Vergas Public School District,50.0,549.0,1.0,Perham-Dent Public School District
219,23-24,23.0,1.0,Frazee-Vergas Public School District,3.0,550.0,1.0,Underwood Public School District
220,23-24,23.0,1.0,Frazee-Vergas Public School District,1.0,553.0,1.0,New York Mills Public School District
221,23-24,23.0,1.0,Frazee-Vergas Public School District,4.0,821.0,1.0,Menahga Public School District
222,23-24,25.0,1.0,Pine Point Public School District,1.0,309.0,1.0,Park Rapids Public School District
223,23-24,31.0,1.0,Bemidji Public School District,45.0,32.0,1.0,Blackduck Public School District
224,23-24,31.0,1.0,Bemidji Public School District,59.0,38.0,1.0,Red Lake Public School District
225,23-24,31.0,1.0,Bemidji Public School District,4.0,113.0,1.0,Walker-Hackensack-Akeley School District
226,23-24,31.0,1.0,Bemidji Public School District,76.0,115.0,1.0,Cass Lake-Bena Public Schools
227,23-24,31.0,1.0,Bemidji Public School District,1.0,118.0,1.0,Northland Community Schools
228,23-24,31.0,1.0,Bemidji Public School District,28.0,162.0,1.0,Bagley Public School District
229,23-24,31.0,1.0,Bemidji Public School District,22.0,306.0,1.0,Laporte Public School District
230,23-24,31.0,1.0,Bemidji Public School District,5.0,309.0,1.0,Park Rapids Public School District
231,23-24,31.0,1.0,Bemidji Public School District,2.0,363.0,1.0,South Koochiching School District
232,23-24,31.0,1.0,Bemidji Public School District,1.0,435.0,1.0,Waubun-Ogema-White Earth Schools
233,23-24,31.0,1.0,Bemidji Public School District,4.0,2311.0,1.0,Clearbrook-Gonvick School District
234,23-24,32.0,1.0,Blackduck Public School District,118.0,31.0,1.0,Bemidji Public School District
235,23-24,32.0,1.0,Blackduck Public School District,25.0,36.0,1.0,Kelliher Public School District
236,23-24,32.0,1.0,Blackduck Public School District,35.0,38.0,1.0,Red Lake Public School District
237,23-24,32.0,1.0,Blackduck Public School District,35.0,318.0,1.0,Grand Rapids Public School District
238,23-24,32.0,1.0,Blackduck Public School District,3.0,363.0,1.0,South Koochiching School District
239,23-24,36.0,1.0,Kelliher Public School District,1.0,31.0,1.0,Bemidji Public School District
240,23-24,36.0,1.0,Kelliher Public School District,4.0,32.0,1.0,Blackduck Public School District
241,23-24,36.0,1.0,Kelliher Public School District,69.0,38.0,1.0,Red Lake Public School District
242,23-24,36.0,1.0,Kelliher Public School District,1.0,115.0,1.0,Cass Lake-Bena Public Schools
243,23-24,36.0,1.0,Kelliher Public School District,11.0,363.0,1.0,South Koochiching School District
244,23-24,38.0,1.0,Red Lake Public School District,8.0,31.0,1.0,Bemidji Public School District
245,23-24,47.0,1.0,Sauk Rapids-Rice Public Schools,34.0,51.0,1.0,Foley Public School District
246,23-24,47.0,1.0,Sauk Rapids-Rice Public Schools,1.0,279.0,1.0,Osseo Public School District
247,23-24,47.0,1.0,Sauk Rapids-Rice Public Schools,2.0,477.0,1.0,Princeton Public School District
248,23-24,47.0,1.0,Sauk Rapids-Rice Public Schools,7.0,482.0,1.0,Little Falls Community Schools
249,23-24,47.0,1.0,Sauk Rapids-Rice Public Schools,1.0,485.0,1.0,Royalton Public School District
250,23-24,47.0,1.0,Sauk Rapids-Rice Public Schools,6.0,726.0,1.0,Becker Public School District
251,23-24,47.0,1.0,Sauk Rapids-Rice Public Schools,3.0,738.0,1.0,Holdingford Public School District
252,23-24,47.0,1.0,Sauk Rapids-Rice Public Schools,1.0,739.0,1.0,Kimball Public School District
253,23-24,47.0,1.0,Sauk Rapids-Rice Public Schools,1.0,741.0,1.0,Paynesville Area Schools
254,23-24,47.0,1.0,Sauk Rapids-Rice Public Schools,667.0,742.0,1.0,St. Cloud Public School District
255,23-24,47.0,1.0,Sauk Rapids-Rice Public Schools,1.0,745.0,1.0,Albany Public School District
256,23-24,47.0,1.0,Sauk Rapids-Rice Public Schools,54.0,748.0,1.0,Sartell-St. Stephen School District
257,23-24,47.0,1.0,Sauk Rapids-Rice Public Schools,3.0,750.0,1.0,ROCORI Public School District
258,23-24,51.0,1.0,Foley Public School District,60.0,47.0,1.0,Sauk Rapids-Rice Public Schools
259,23-24,51.0,1.0,Foley Public School District,1.0,181.0,1.0,Brainerd Public School District
260,23-24,51.0,1.0,Foley Public School District,25.0,477.0,1.0,Princeton Public School District
261,23-24,51.0,1.0,Foley Public School District,1.0,482.0,1.0,Little Falls Community Schools
262,23-24,51.0,1.0,Foley Public School District,11.0,485.0,1.0,Royalton Public School District
263,23-24,51.0,1.0,Foley Public School District,26.0,726.0,1.0,Becker Public School District
264,23-24,51.0,1.0,Foley Public School District,1.0,728.0,1.0,Elk River Public School District
265,23-24,51.0,1.0,Foley Public School District,109.0,742.0,1.0,St. Cloud Public School District
266,23-24,51.0,1.0,Foley Public School District,1.0,745.0,1.0,Albany Public School District
267,23-24,51.0,1.0,Foley Public School District,5.0,748.0,1.0,Sartell-St. Stephen School District
268,23-24,51.0,1.0,Foley Public School District,1.0,885.0,1.0,St. Michael-Albertville School District
269,23-24,51.0,1.0,Foley Public School District,165.0,912.0,1.0,Milaca Public School District
270,23-24,75.0,1.0,St. Clair Public School District,271.0,77.0,1.0,Mankato Public School District
271,23-24,75.0,1.0,St. Clair Public School District,1.0,391.0,1.0,Cleveland Public School District
272,23-24,75.0,1.0,St. Clair Public School District,1.0,508.0,1.0,St. Peter Public School District
273,23-24,75.0,1.0,St. Clair Public School District,6.0,2071.0,1.0,Lake Crystal-Wellcome Memorial
274,23-24,75.0,1.0,St. Clair Public School District,31.0,2135.0,1.0,Maple River School District
275,23-24,75.0,1.0,St. Clair Public School District,76.0,2835.0,1.0,Janesville-Waldorf-Pemberton
276,23-24,77.0,1.0,Mankato Public School District,43.0,75.0,1.0,St. Clair Public School District
277,23-24,77.0,1.0,Mankato Public School District,9.0,88.0,1.0,New Ulm Public School District
278,23-24,77.0,1.0,Mankato Public School District,22.0,391.0,1.0,Cleveland Public School District
279,23-24,77.0,1.0,Mankato Public School District,2.0,458.0,1.0,Truman Public School District
280,23-24,77.0,1.0,Mankato Public School District,1.0,492.0,1.0,Austin Public School District
281,23-24,77.0,1.0,Mankato Public School District,20.0,507.0,1.0,Nicollet Public School District
282,23-24,77.0,1.0,Mankato Public School District,40.0,508.0,1.0,St. Peter Public School District
